bodies,reactants,products,id,family,type,depth,status,verdict
2,e + Ar,e + Ar,e_Ar_elastic,electron,elastic,0,curated,thermoneutral
2,e + Ar,e + Ar+,e_Ar_ionization,electron,ionization,0,curated,endothermic by 15.76 eV
2,e + Ar_4s,e + Ar,e_Ar4s_superelastic,electron,deexcitation,1,literature_supported,exothermic by 11.60 eV
2,e + O,e + O,e_O_elastic,electron,elastic,1,literature_supported,thermoneutral
2,e + O,e + O_1D,e_O_excitation_O_1D,electron,excitation,1,curated,endothermic by 1.97 eV
2,e + O,e + O_1S,e_O_excitation_O_1S,electron,excitation,1,literature_supported,endothermic by 4.19 eV
2,e + O,e + O+,e_O_ionization,electron,ionization,1,curated,endothermic by 13.62 eV
2,e + O2,e + O + O_1S,cand_O2_diss_O_1S,electron,dissociation,0,candidate,endothermic by 9.36 eV
2,e + O2,e + O,e_O2_dissociation_O_O,electron,dissociation,0,literature_supported,endothermic by 5.17 eV
2,e + O2,e + O + O_1D,e_O2_dissociation_O_O1D,electron,dissociation,0,literature_supported,endothermic by 7.13 eV
2,e + O2,e + e + O+ + O,cand_e_O2_to_e_e_Op_O,electron,dissociative_ionization,0,candidate,endothermic by 18.78 eV
2,e + O2,e + O2,e_O2_elastic,electron,elastic,0,curated,thermoneutral
2,e + O2,e + O2_a1Delta,e_O2_excitation_O2_a1Delta,electron,excitation,0,curated,endothermic by 0.98 eV
2,e + O2,e + O2_b1Sigma,e_O2_excitation_O2_b1Sigma,electron,excitation,0,curated,endothermic by 1.63 eV
2,e + O2,e + O2+,e_O2_ionization,electron,ionization,0,curated,endothermic by 12.07 eV
2,e + O2_a1Delta,e + O2,e_O2_a1Delta_superelastic,electron,deexcitation,1,literature_supported,exothermic by 0.98 eV
2,e + O2_a1Delta,e + O + O,cand_e_O2_a1Delta_to_e_O_O,electron,dissociation,1,candidate,endothermic by 4.19 eV
2,e + O2_a1Delta,e + e + O+ + O,cand_e_O2_a1Delta_to_e_e_Op_O,electron,dissociative_ionization,1,candidate,endothermic by 17.81 eV
2,e + O2_a1Delta,e + O2_a1Delta,e_O2_a1Delta_elastic,electron,elastic,1,literature_supported,thermoneutral
2,e + O2_a1Delta,e + O2+,e_O2_a1Delta_ionization,electron,ionization,1,literature_supported,endothermic by 11.09 eV
2,e + O2_b1Sigma,e + O2,e_O2_b1Sigma_superelastic,electron,deexcitation,1,literature_supported,exothermic by 1.63 eV
2,e + O2_b1Sigma,e + O + O,cand_e_O2_b1Sigma_to_e_O_O,electron,dissociation,1,candidate,endothermic by 3.54 eV
2,e + O2_b1Sigma,e + e + O+ + O,cand_e_O2_b1Sigma_to_e_e_Op_O,electron,dissociative_ionization,1,candidate,endothermic by 17.16 eV
2,e + O2_b1Sigma,e + O2_b1Sigma,e_O2_b1Sigma_elastic,electron,elastic,1,literature_supported,thermoneutral
2,e + O2_b1Sigma,e + O2+,e_O2_b1Sigma_ionization,electron,ionization,1,literature_supported,endothermic by 10.44 eV
2,e + O_1D,e + O,e_O_1D_superelastic,electron,deexcitation,1,literature_supported,exothermic by 1.97 eV
2,e + O_1D,e + O_1D,e_O_1D_elastic,electron,elastic,1,literature_supported,thermoneutral
2,e + O_1D,e + O+,e_O_1D_ionization,electron,ionization,1,literature_supported,endothermic by 11.65 eV
2,e + O_1S,e + O,e_O_1S_superelastic,electron,deexcitation,1,literature_supported,exothermic by 4.19 eV
2,e + O_1S,e + O_1S,e_O_1S_elastic,electron,elastic,1,literature_supported,thermoneutral
2,e + O_1S,e + e + O+,cand_e_O_1S_to_e_e_Op,electron,ionization,1,candidate,endothermic by 9.43 eV
